                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3504,                0.84935,                 1.6599,                0.88216,                0.89474,                0.96211,                0.59541,                 1.3391,                0.95051,                 1.8321,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.3678,                0.86082,                 1.7606,                0.97538,                0.94737,                0.98458,                0.52327,                 1.6189,                 1.0163,                 1.9871,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.2964,                0.84984,                 1.6532,                0.85269,                0.94737,                  0.941,                0.53458,                 1.4666,                0.94502,                 1.9908,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.3241,                0.86981,                 1.6817,                0.82421,                0.98753,                0.93913,                0.55198,                  1.391,                0.91362,                 1.7867,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.2741,                0.84148,                 1.6946,                0.94991,                      1,                 0.9925,                0.63872,                 1.3289,                0.91206,                 1.7221,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.2734,                0.82603,                  1.597,                0.97617,                      1,                  0.995,                0.58333,                 1.3996,                0.89095,                 1.6805,              0.0018495,              0.0018495,              0.0018495
                     41,                  1.252,                0.81017,                 1.5844,                0.94839,                      1,                  0.995,                0.57881,                 1.3111,                0.86153,                  1.639,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.3496,                0.82612,                 1.7188,                0.86337,                      1,                0.98136,                0.65016,                 1.3045,                0.85107,                 1.7739,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.2736,                0.83502,                 1.6988,                0.93407,                      1,                  0.995,                0.59808,                 1.3318,                0.88139,                 1.7753,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.3498,                0.85243,                 1.7975,                0.80201,                0.94737,                0.95454,                0.55529,                 1.4455,                0.94052,                 1.7764,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3994,                0.90687,                 1.8099,                0.69424,                0.95628,                0.94108,                0.54577,                 1.4789,                 0.9958,                 1.8588,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.3901,                0.86127,                 1.7538,                0.76659,                0.94737,                 0.9224,                0.52808,                 1.5061,                 1.0492,                 1.8784,              0.0018258,              0.0018258,              0.0018258
                     47,                  1.401,                0.86169,                 1.7759,                0.85316,                0.91804,                0.97916,                0.61709,                 1.3877,                0.93987,                  1.859,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.3221,                0.83649,                 1.6515,                0.89946,                      1,                 0.9827,                0.59426,                 1.2964,                 0.9283,                 1.6845,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.3216,                0.80579,                 1.5515,                0.85763,                      1,                0.97152,                0.60944,                 1.3335,                0.93924,                 1.7027,              0.0018139,              0.0018139,              0.0018139
